team,Well_Performed_Percentage
ATL,60.0
BOS,65.57377049180327
BRK,64.28571428571429
CHA,76.47058823529412
CHH,72.72727272727273
CHI,63.934426229508205
CHO,58.333333333333336
CLE,64.44444444444444
DAL,65.85365853658537
DEN,60.0
DET,57.99999999999999
GSW,58.490566037735846
HOU,60.526315789473685
IND,57.14285714285714
LAC,69.76744186046511
LAL,56.81818181818182
MEM,70.0
MIA,52.38095238095239
MIL,45.45454545454545
MIN,58.92857142857143
NJN,74.19354838709677
NOH,72.72727272727273
NOK,100.0
NOP,26.666666666666668
NYK,64.86486486486487
OKC,70.0
ORL,64.15094339622641
PHI,49.2063492063492
PHO,56.36363636363636
POR,55.319148936170215
SAC,58.333333333333336
SAS,54.54545454545454
SEA,51.61290322580645
TOR,72.41379310344827
UTA,52.83018867924528
VAN,63.63636363636363
WAS,59.25925925925925
WSB,46.15384615384615
